,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",7/12/2025 11:00,27.571409,77.655757,CO,30,70,46
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",7/12/2025 11:00,30.075911,78.2859547,NO2,19,33,24
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",7/12/2025 11:00,23.685297,86.945968,PM10,83,144,122
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",7/12/2025 11:00,23.697936,86.944395,PM10,53,148,118
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",7/12/2025 11:00,23.697936,86.944395,NH3,3,4,4
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",7/12/2025 11:00,23.618183,87.105718,PM2.5,74,341,245
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",7/12/2025 11:00,23.618183,87.105718,SO2,4,11,6
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",7/12/2025 11:00,23.616515,87.119133,PM2.5,74,246,156
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",7/12/2025 11:00,22.7605581,88.3617589,CO,54,96,66
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",7/12/2025 11:00,22.629801,88.352017,CO,20,105,34
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",7/12/2025 11:00,22.629801,88.352017,OZONE,14,65,25
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",7/12/2025 11:00,22.554954,88.292568,CO,14,91,34
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",7/12/2025 11:00,22.6025571,88.3105664,NH3,1,2,2
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",7/12/2025 11:00,22.6025571,88.3105664,SO2,5,37,14
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",7/12/2025 11:00,29.4723508,77.7194031,CO,21,72,39
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",7/12/2025 11:00,28.6245479,77.3577104,CO,39,82,47
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",7/12/2025 11:00,28.6245479,77.3577104,OZONE,24,130,33
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",7/12/2025 11:00,28.56923,77.393848,NO2,60,161,108
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",7/12/2025 11:00,28.56923,77.393848,OZONE,13,241,44
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",7/12/2025 11:00,25.425602,81.917152,SO2,8,17,10
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",7/12/2025 11:00,25.494,81.863,OZONE,5,60,22
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",7/12/2025 11:00,22.49929,88.36917,NH3,6,19,11
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",7/12/2025 11:00,22.49929,88.36917,CO,29,116,80
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",7/12/2025 11:00,22.51106,88.35142,PM2.5,91,255,146
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",7/12/2025 11:00,22.51106,88.35142,NH3,9,41,20
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",7/12/2025 11:00,22.5448082,88.3403691,PM2.5,237,394,311
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",7/12/2025 11:00,22.5448082,88.3403691,CO,50,112,61
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",7/12/2025 11:00,22.5448082,88.3403691,OZONE,5,86,30
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",7/12/2025 11:00,26.6879226,88.4152495,PM2.5,50,189,87
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",7/12/2025 11:00,26.6879226,88.4152495,PM10,56,179,101
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",7/12/2025 11:00,26.6879226,88.4152495,NO2,13,31,19
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",7/12/2025 11:00,16.554731,80.64911,SO2,8,26,18
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",7/12/2025 11:00,16.554731,80.64911,OZONE,86,166,109
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/12/2025 11:00,17.72,83.3,PM10,125,158,145
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/12/2025 11:00,17.72,83.3,SO2,20,56,29
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/12/2025 11:00,17.72,83.3,CO,30,60,37
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",7/12/2025 11:00,27.103358,93.679645,NH3,1,1,1
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",7/12/2025 11:00,26.071318,91.87488,NO2,5,8,7
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",7/12/2025 11:00,25.251013,86.989001,CO,14,19,17
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",7/12/2025 11:00,25.265194,87.012947,PM2.5,42,163,90
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",7/12/2025 11:00,25.204762,85.51496,CO,2,28,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",7/12/2025 11:00,25.56752,83.966379,NO2,5,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",7/12/2025 11:00,25.56752,83.966379,SO2,5,12,8
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",7/12/2025 11:00,25.56752,83.966379,OZONE,18,144,44
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",7/12/2025 11:00,25.7808257,84.7446768,PM2.5,68,287,161
India,Assam,Guwahati,"IITG, Guwahati - PCBA",7/12/2025 11:00,26.2028636,91.70046436,NH3,5,5,5
